# Simulation 2 (Up to date)
# 694 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (ft),Vertical velocity (m/s),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.007,0.442,0.579,34.253
0.038,1.411,0.563,34.253
# Event LIFTOFF occurred at t=0.03 seconds
0.099,2.358,0.544,34.253
0.192,3.294,0.527,34.253
0.316,4.228,0.513,34.253
0.47,5.158,0.502,34.253
0.654,6.086,0.493,34.253
0.869,7.011,0.485,34.253
1.114,7.934,0.479,34.253
1.389,8.853,0.473,34.253
1.695,9.77,0.468,34.253
2.03,10.683,0.464,34.253
2.372,11.536,0.46,34.253
2.711,12.323,0.459,34.253
3.049,13.058,0.459,34.253
# Event LAUNCHROD occurred at t=0.154 seconds
3.385,13.75,0.459,34.253
3.923,14.785,0.459,34.253
4.803,16.329,0.459,34.253
6.285,18.629,0.459,34.253
8.249,21.258,0.46,34.253
10.256,23.603,0.46,34.253
12.453,25.887,0.46,34.253
15.063,28.318,0.46,34.253
18.587,31.236,0.46,34.253
24.033,35.15,0.461,34.253
30.107,38.902,0.461,34.253
33.051,40.541,0.461,34.253
35.59,41.881,0.461,34.253
37.962,43.076,0.461,34.253
40.149,44.132,0.461,34.253
42.257,45.114,0.462,34.253
44.367,46.062,0.462,34.253
46.565,47.016,0.462,34.253
48.96,48.02,0.462,34.253
51.746,49.144,0.462,34.253
55.381,50.546,0.462,34.253
61.021,52.593,0.463,34.253
69.89,55.531,0.463,34.253
72.425,56.31,0.463,34.253
74.673,56.984,0.463,34.253
76.791,57.602,0.463,34.253
78.874,58.193,0.463,34.253
81.016,58.785,0.463,34.253
83.306,59.399,0.464,34.253
85.892,60.072,0.464,34.253
89.093,60.875,0.464,34.253
93.973,62.037,0.464,34.253
101.46,63.685,0.464,34.253
105.18,64.444,0.464,34.253
108.161,65.027,0.464,34.253
110.842,65.534,0.465,34.253
113.361,65.995,0.465,34.253
115.861,66.438,0.465,34.253
118.47,66.887,0.465,34.253
121.378,67.37,0.465,34.253
124.996,67.948,0.465,34.253
130.481,68.772,0.465,34.253
138.823,69.844,0.465,34.253
142.667,70.239,0.465,34.253
145.76,70.518,0.465,34.253
148.668,70.751,0.465,34.253
151.634,70.959,0.465,34.253
154.889,71.153,0.465,34.253
158.649,71.335,0.466,34.253
163.868,71.511,0.466,34.253
171.711,71.614,0.466,34.253
180.025,71.514,0.466,34.253
184.026,71.405,0.466,34.253
187.762,71.268,0.466,34.253
191.618,71.095,0.465,34.253
195.796,70.89,0.465,34.253
201.259,70.601,0.465,34.253
209.41,70.129,0.465,34.253
216.471,69.69,0.465,34.253
220.549,69.423,0.465,34.253
224.39,69.163,0.465,34.253
228.633,68.866,0.465,34.253
234.359,68.447,0.465,34.253
# Event BURNOUT occurred at t=1.47 seconds
237.344,68.22,0.465,34.253
241.802,67.877,0.465,34.253
248.447,67.364,0.465,34.253
253.826,66.947,0.465,34.253
258.114,66.614,0.465,34.253
262.955,66.239,0.465,34.253
270.165,65.681,0.465,34.253
280.867,64.854,0.464,34.253
289.995,64.148,0.464,34.253
298.907,63.457,0.464,34.253
306.101,62.898,0.464,34.253
316.353,62.097,0.464,34.253
324.943,61.423,0.464,34.253
330.537,60.982,0.464,34.253
337.014,60.472,0.464,34.253
346.628,59.716,0.464,34.253
356.361,58.949,0.463,34.253
361.603,58.535,0.463,34.253
367.194,58.093,0.463,34.253
375.502,57.433,0.463,34.253
384.862,56.684,0.463,34.253
391.88,56.119,0.463,34.253
396.562,55.74,0.463,34.253
401.342,55.354,0.463,34.253
408.449,54.779,0.463,34.253
417.376,54.057,0.463,34.253
422.768,53.62,0.463,34.253
428.742,53.134,0.463,34.253
437.4,52.424,0.463,34.253
445.942,51.72,0.462,34.253
454.369,51.02,0.462,34.253
461.129,50.455,0.462,34.253
467.98,49.88,0.462,34.253
476.106,49.197,0.462,34.253
484.121,48.521,0.462,34.253
488.614,48.141,0.462,34.253
492.606,47.802,0.462,34.253
497.344,47.398,0.462,34.253
504.376,46.794,0.462,34.253
511.998,46.133,0.462,34.253
519.341,45.489,0.462,34.253
524.935,44.996,0.462,34.253
531.051,44.454,0.462,34.253
538.291,43.81,0.461,34.253
545.425,43.171,0.461,34.253
552.455,42.539,0.461,34.253
559.162,41.931,0.461,34.253
565.989,41.307,0.461,34.253
572.714,40.685,0.461,34.253
579.337,40.066,0.461,34.253
585.859,39.45,0.461,34.253
592.28,38.838,0.461,34.253
598.601,38.229,0.461,34.253
604.823,37.625,0.461,34.253
610.946,37.027,0.461,34.253
616.971,36.433,0.461,34.253
622.899,35.842,0.461,34.253
628.73,35.255,0.461,34.253
634.465,34.67,0.461,34.253
640.105,34.088,0.461,34.253
645.65,33.509,0.46,34.253
651.099,32.931,0.46,34.253
656.454,32.357,0.46,34.253
661.715,31.784,0.46,34.253
666.882,31.214,0.46,34.253
671.956,30.647,0.46,34.253
676.937,30.084,0.46,34.253
681.826,29.525,0.46,34.253
686.624,28.97,0.46,34.253
691.331,28.417,0.46,34.253
695.947,27.867,0.46,34.253
700.474,27.318,0.46,34.253
704.91,26.772,0.46,34.253
709.257,26.227,0.46,34.253
713.515,25.685,0.46,34.253
717.684,25.144,0.46,34.253
721.764,24.604,0.46,34.253
725.756,24.067,0.46,34.253
729.66,23.532,0.46,34.253
733.477,22.998,0.46,34.253
737.206,22.467,0.46,34.253
740.848,21.938,0.46,34.253
744.404,21.412,0.46,34.253
747.873,20.887,0.46,34.253
751.256,20.364,0.46,34.253
754.554,19.844,0.46,34.253
757.767,19.325,0.459,34.253
760.895,18.808,0.459,34.253
763.938,18.292,0.459,34.253
766.896,17.778,0.459,34.253
# Event EJECTION_CHARGE occurred at t=5.47 seconds
769.561,17.302,0.459,34.253
772.357,16.788,0.459,34.253
775.069,16.276,0.459,34.253
777.697,15.765,0.459,34.253
780.241,15.254,0.459,34.253
782.702,14.745,0.459,34.253
785.079,14.239,0.459,34.253
787.373,13.733,0.459,34.253
789.585,13.229,0.459,34.253
791.714,12.727,0.459,34.253
793.76,12.226,0.459,34.253
795.725,11.727,0.459,34.253
797.608,11.229,0.459,34.253
799.409,10.733,0.461,34.253
801.129,10.236,0.463,34.253
802.768,9.741,0.465,34.253
804.325,9.246,0.467,34.253
805.801,8.752,0.47,34.253
807.197,8.259,0.472,34.253
808.511,7.766,0.475,34.253
809.745,7.274,0.478,34.253
810.898,6.783,0.481,34.253
811.97,6.293,0.483,34.253
812.962,5.805,0.486,34.253
813.875,5.317,0.489,34.253
814.707,4.831,0.491,34.253
815.46,4.347,0.494,34.253
816.133,3.863,0.498,34.253
816.727,3.38,0.502,34.253
817.242,2.899,0.505,34.253
817.678,2.42,0.509,34.253
818.036,1.94,0.513,34.253
818.315,1.463,0.515,34.253
