# Simulation 2 (Up to date)
# 735 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (ft),Vertical velocity (m/s),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.008,0.464,0.603,34.253
0.039,1.477,0.574,34.253
# Event LIFTOFF occurred at t=0.03 seconds
0.104,2.467,0.548,34.253
0.201,3.445,0.528,34.253
0.33,4.421,0.513,34.253
0.491,5.393,0.501,34.253
0.684,6.363,0.491,34.253
0.909,7.33,0.483,34.253
1.165,8.294,0.477,34.253
1.453,9.255,0.471,34.253
1.772,10.214,0.466,34.253
2.115,11.149,0.462,34.253
2.456,12.003,0.459,34.253
2.795,12.794,0.459,34.253
3.132,13.535,0.459,34.253
# Event LAUNCHROD occurred at t=0.152 seconds
3.469,14.233,0.459,34.253
4.005,15.277,0.459,34.253
4.881,16.836,0.459,34.253
6.354,19.158,0.459,34.253
8.318,21.839,0.46,34.253
10.341,24.25,0.46,34.253
12.516,26.561,0.46,34.253
14.991,28.925,0.46,34.253
18.239,31.705,0.46,34.253
23.66,35.749,0.461,34.253
29.85,39.709,0.461,34.253
33.314,41.693,0.461,34.253
35.74,43.004,0.461,34.253
37.836,44.089,0.461,34.253
39.774,45.058,0.462,34.253
41.647,45.963,0.462,34.253
43.506,46.833,0.462,34.253
45.401,47.694,0.462,34.253
47.412,48.581,0.462,34.253
49.678,49.549,0.462,34.253
52.449,50.69,0.462,34.253
56.533,52.296,0.462,34.253
62.893,54.635,0.463,34.253
68.063,56.4,0.463,34.253
70.958,57.341,0.463,34.253
73.466,58.132,0.463,34.253
75.824,58.855,0.463,34.253
78.162,59.552,0.464,34.253
80.574,60.251,0.464,34.253
83.212,60.992,0.464,34.253
86.36,61.845,0.464,34.253
90.827,62.999,0.464,34.253
97.678,64.65,0.464,34.253
105.898,66.454,0.465,34.253
109.155,67.117,0.465,34.253
112.07,67.691,0.465,34.253
114.916,68.232,0.465,34.253
117.83,68.767,0.465,34.253
121.073,69.342,0.465,34.253
125.134,70.032,0.465,34.253
131.299,71.02,0.465,34.253
140.7,72.359,0.466,34.253
143.919,72.742,0.466,34.253
146.678,73.042,0.466,34.253
149.315,73.304,0.466,34.253
152.099,73.551,0.466,34.253
155.29,73.803,0.466,34.253
159.466,74.083,0.466,34.253
165.755,74.4,0.466,34.253
175.225,74.647,0.466,34.253
179.107,74.664,0.466,34.253
182.467,74.643,0.466,34.253
185.763,74.592,0.466,34.253
189.375,74.509,0.466,34.253
193.913,74.364,0.466,34.253
200.701,74.068,0.466,34.253
210.825,73.536,0.466,34.253
215.273,73.276,0.466,34.253
218.894,73.057,0.466,34.253
222.403,72.838,0.466,34.253
226.472,72.575,0.466,34.253
232.413,72.175,0.466,34.253
241.262,71.538,0.466,34.253
# Event BURNOUT occurred at t=1.47 seconds
247.686,71.047,0.465,34.253
251.913,70.715,0.465,34.253
255.665,70.42,0.465,34.253
259.641,70.108,0.465,34.253
265.169,69.675,0.465,34.253
273.398,69.032,0.465,34.253
284.65,68.153,0.465,34.253
290.609,67.688,0.465,34.253
296.875,67.198,0.465,34.253
305.129,66.551,0.465,34.253
315.976,65.699,0.465,34.253
326.684,64.853,0.464,34.253
331.721,64.454,0.464,34.253
336.454,64.079,0.464,34.253
343.045,63.557,0.464,34.253
352.832,62.784,0.464,34.253
359.459,62.26,0.464,34.253
364.351,61.873,0.464,34.253
369.618,61.456,0.464,34.253
377.452,60.833,0.464,34.253
387.366,60.04,0.464,34.253
397.151,59.255,0.464,34.253
406.807,58.478,0.463,34.253
416.337,57.709,0.463,34.253
425.741,56.949,0.463,34.253
435.021,56.197,0.463,34.253
441.694,55.655,0.463,34.253
448.896,55.067,0.463,34.253
457.869,54.33,0.463,34.253
464.712,53.764,0.463,34.253
469.899,53.334,0.463,34.253
475.173,52.895,0.463,34.253
481.714,52.35,0.463,34.253
490.243,51.639,0.462,34.253
497.443,51.037,0.462,34.253
503.365,50.54,0.462,34.253
