# Simulation 1 (Up to date)
# 883 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (ft),Vertical velocity (m/s),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.016,1.057,0.561,30
# Event LIFTOFF occurred at t=0.02 seconds
0.072,2.328,0.54,30
0.171,3.634,0.52,30
0.312,4.969,0.503,30
0.499,6.326,0.49,30
0.728,7.701,0.48,30
1.004,9.093,0.471,30
1.325,10.5,0.464,30
1.673,11.851,0.459,30
2.018,13.057,0.459,30
2.359,14.158,0.459,30
2.7,15.178,0.459,30
3.038,16.132,0.459,30
# Event LAUNCHROD occurred at t=0.125 seconds
3.376,17.033,0.459,30
3.917,18.389,0.459,30
4.803,20.435,0.46,30
6.312,23.523,0.46,30
8.258,27.007,0.46,30
10.207,30.109,0.46,30
12.326,33.166,0.46,30
14.856,36.484,0.461,30
18.245,40.505,0.461,30
23.986,46.502,0.462,30
32.218,53.837,0.463,30
34.836,55.941,0.463,30
37.165,57.741,0.463,30
39.367,59.382,0.463,30
41.48,60.912,0.464,30
43.583,62.392,0.464,30
45.738,63.868,0.464,30
48.031,65.395,0.464,30
50.597,67.059,0.465,30
53.737,69.031,0.465,30
58.507,71.903,0.466,30
66.027,76.141,0.466,30
70.492,78.511,0.467,30
73.517,80.061,0.467,30
76.129,81.367,0.467,30
78.579,82.565,0.468,30
81.001,83.722,0.468,30
83.501,84.894,0.468,30
86.227,86.143,0.468,30
89.541,87.626,0.469,30
94.616,89.826,0.469,30
102.467,93.098,0.47,30
106.699,94.747,0.471,30
109.81,95.879,0.471,30
112.641,96.846,0.471,30
115.41,97.739,0.471,30
118.294,98.6,0.471,30
121.499,99.465,0.472,30
125.531,100.404,0.472,30
131.644,101.531,0.472,30
140.909,102.527,0.472,30
144.058,102.658,0.473,30
146.814,102.712,0.473,30
149.482,102.718,0.473,30
152.303,102.678,0.473,30
155.522,102.584,0.472,30
159.777,102.388,0.472,30
166.138,101.976,0.472,30
175.627,101.208,0.472,30
178.904,100.926,0.472,30
181.939,100.66,0.472,30
185.052,100.386,0.472,30
# Event BURNOUT occurred at t=0.92 seconds
187.221,100.193,0.472,30
190.469,99.903,0.472,30
195.322,99.473,0.472,30
202.566,98.833,0.472,30
210.03,98.176,0.471,30
214.386,97.793,0.471,30
218.488,97.434,0.471,30
222.648,97.07,0.471,30
227.648,96.632,0.471,30
235.105,95.98,0.471,30
246.198,95.01,0.471,30
251.722,94.528,0.47,30
256.719,94.092,0.47,30
262.306,93.606,0.47,30
270.63,92.884,0.47,30
283.002,91.817,0.47,30
290.932,91.135,0.47,30
299.547,90.396,0.469,30
312.343,89.3,0.469,30
325.778,88.15,0.469,30
334.252,87.427,0.469,30
346.834,86.358,0.469,30
356.657,85.528,0.468,30
363.346,84.963,0.468,30
371.729,84.256,0.468,30
384.173,83.205,0.468,30
393.31,82.435,0.468,30
401.447,81.75,0.468,30
412.425,80.828,0.467,30
425.594,79.727,0.467,30
437.146,78.763,0.467,30
448.465,77.82,0.467,30
461.145,76.762,0.467,30
470.505,75.981,0.466,30
479.833,75.205,0.466,30
492.087,74.187,0.466,30
504.173,73.185,0.466,30
515.154,72.276,0.466,30
525.013,71.46,0.466,30
536.657,70.494,0.465,30
547.549,69.589,0.465,30
556.056,68.882,0.465,30
567.277,67.951,0.465,30
578.35,67.033,0.465,30
589.272,66.128,0.465,30
598.009,65.403,0.464,30
607.185,64.641,0.464,30
617.72,63.763,0.464,30
628.107,62.894,0.464,30
634.019,62.399,0.464,30
642.799,61.664,0.464,30
652.844,60.824,0.464,30
662.533,60.012,0.464,30
671.631,59.248,0.464,30
681.283,58.434,0.463,30
690.804,57.629,0.463,30
700.19,56.832,0.463,30
709.449,56.043,0.463,30
718.579,55.263,0.463,30
727.582,54.492,0.463,30
736.457,53.73,0.463,30
745.21,52.975,0.463,30
753.839,52.228,0.463,30
762.346,51.488,0.462,30
770.732,50.754,0.462,30
778.996,50.027,0.462,30
787.142,49.306,0.462,30
795.174,48.592,0.462,30
803.087,47.887,0.462,30
810.886,47.188,0.462,30
818.57,46.495,0.462,30
826.138,45.809,0.462,30
833.599,45.127,0.462,30
840.945,44.451,0.462,30
848.182,43.778,0.461,30
855.282,43.113,0.461,30
862.3,42.452,0.461,30
869.209,41.797,0.461,30
876.014,41.148,0.461,30
882.71,40.505,0.461,30
889.301,39.866,0.461,30
895.791,39.232,0.461,30
902.172,38.603,0.461,30
908.455,37.976,0.461,30
914.633,37.354,0.461,30
920.709,36.737,0.461,30
926.686,36.125,0.461,30
932.562,35.517,0.461,30
938.34,34.913,0.461,30
944.016,34.313,0.461,30
949.596,33.716,0.46,30
955.079,33.122,0.46,30
960.463,32.532,0.46,30
965.751,31.945,0.46,30
970.945,31.362,0.46,30
976.04,30.782,0.46,30
# Event EJECTION_CHARGE occurred at t=4.92 seconds
976.293,30.754,0.46,30
976.673,30.71,0.46,30
977.238,30.645,0.46,30
978.084,30.548,0.46,30
979.35,30.402,0.46,30
981.237,30.184,0.46,30
984.042,29.857,0.46,30
988.192,29.369,0.46,30
992.963,28.801,0.46,30
997.641,28.237,0.46,30
1002.228,27.675,0.46,30
1006.722,27.117,0.46,30
1011.125,26.561,0.46,30
1015.436,26.009,0.46,30
1019.659,25.459,0.46,30
1023.789,24.912,0.46,30
1027.831,24.366,0.46,30
1031.781,23.824,0.46,30
1035.646,23.283,0.46,30
1039.423,22.745,0.46,30
1043.11,22.208,0.46,30
1046.709,21.673,0.46,30
1050.22,21.14,0.46,30
1053.645,20.609,0.46,30
1056.982,20.078,0.46,30
1060.233,19.55,0.459,30
1063.396,19.024,0.459,30
1066.473,18.5,0.459,30
1069.465,17.98,0.459,30
1072.372,17.461,0.459,30
1075.194,16.944,0.459,30
1077.93,16.429,0.459,30
1080.584,15.917,0.459,30
1083.153,15.406,0.459,30
1085.64,14.896,0.459,30
1088.041,14.389,0.459,30
1090.361,13.882,0.459,30
1092.595,13.376,0.459,30
1094.747,12.872,0.459,30
1096.818,12.369,0.459,30
1098.806,11.866,0.459,30
1100.712,11.365,0.46,30
1102.536,10.865,0.462,30
1104.275,10.366,0.464,30
1105.935,9.868,0.466,30
1107.513,9.372,0.469,30
1109.009,8.876,0.471,30
1110.427,8.38,0.474,30
1111.759,7.885,0.477,30
1113.012,7.391,0.48,30
1114.186,6.898,0.483,30
1115.276,6.406,0.487,30
1116.286,5.915,0.49,30
1117.218,5.424,0.494,30
1118.068,4.934,0.498,30
1118.835,4.445,0.503,30
1119.524,3.957,0.508,30
1120.135,3.47,0.514,30
1120.663,2.984,0.517,30
1121.112,2.5,0.521,30
1121.483,2.017,0.528,30
1121.775,1.535,0.532,30
1121.988,1.055,0.539,30
1122.119,0.576,0.541,30
1122.175,0.098,0.54,30
# Event APOGEE occurred at t=7.942 seconds
1122.152,-0.387,0.536,30
1122.051,-0.87,0.534,30
1121.867,-1.352,0.53,30
1121.604,-1.833,0.525,30
1121.266,-2.312,0.522,30
1120.846,-2.788,0.516,30
1120.351,-3.263,0.514,30
1119.777,-3.735,0.51,30
1119.127,-4.205,0.507,30
1118.399,-4.671,0.502,30
1117.595,-5.134,0.499,30
1116.713,-5.592,0.495,30
1115.758,-6.045,0.491,30
1114.829,-6.452,0.488,30
1113.937,-6.814,0.486,30
1113.048,-7.155,0.484,30
1112.136,-7.485,0.482,30
1111.194,-7.809,0.479,30
1110.259,-8.113,0.478,30
1109.285,-8.418,0.476,30
1108.245,-8.728,0.474,30
1107.123,-9.05,0.472,30
1105.892,-9.388,0.471,30
1104.469,-9.764,0.469,30
1102.835,-10.179,0.467,30
1101.129,-10.596,0.465,30
1099.357,-11.015,0.463,30
1097.516,-11.438,0.462,30
1095.604,-11.865,0.46,30
1094.045,-12.204,0.459,30
1092.789,-12.471,0.459,30
1091.736,-12.691,0.459,30
1090.794,-12.886,0.459,30
1089.925,-13.062,0.459,30
1089.111,-13.226,0.459,30
1088.333,-13.381,0.459,30
1087.589,-13.527,0.459,30
1086.86,-13.668,0.459,30
1086.148,-13.805,0.459,30
1085.449,-13.937,0.459,30
1084.764,-14.066,0.459,30
1084.088,-14.191,0.459,30
1083.419,-14.314,0.459,30
1082.753,-14.434,0.459,30
1082.093,-14.551,0.459,30
1081.434,-14.668,0.459,30
1080.768,-14.784,0.459,30
1080.102,-14.899,0.459,30
1079.426,-15.013,0.459,30
1078.734,-15.128,0.459,30
1078.025,-15.245,0.459,30
1077.287,-15.364,0.459,30
1076.509,-15.488,0.459,30
1075.679,-15.616,0.459,30
1074.757,-15.755,0.459,30
1073.698,-15.91,0.459,30
1072.405,-16.09,0.459,30
1070.62,-16.325,0.459,30
1068.219,-16.61,0.459,30
1065.791,-16.861,0.459,30
1063.802,-17.039,0.459,30
1062.536,-17.14,0.459,30
1061.473,-17.217,0.459,30
1060.528,-17.281,0.459,30
1059.656,-17.336,0.459,30
1058.825,-17.386,0.459,30
1058.028,-17.43,0.459,30
1057.254,-17.472,0.459,30
1056.496,-17.511,0.459,30
1055.735,-17.549,0.459,30
1054.97,-17.586,0.459,30
1054.196,-17.623,0.459,30
1053.412,-17.66,0.459,30
1052.615,-17.696,0.459,30
1051.798,-17.734,0.459,30
1050.958,-17.772,0.459,30
1050.082,-17.813,0.459,30
1049.16,-17.857,0.459,30
1048.166,-17.905,0.459,30
1047.064,-17.96,0.459,30
1045.768,-18.028,0.459,30
1044.104,-18.121,0.459,30
1041.594,-18.273,0.459,30
1038.583,-18.475,0.459,30
1036.152,-18.649,0.459,30
1034.705,-18.756,0.459,30
1033.494,-18.846,0.459,30
1032.418,-18.927,0.459,30
1031.421,-19.002,0.459,30
1030.482,-19.072,0.459,30
1029.58,-19.139,0.459,30
1028.714,-19.202,0.459,30
1027.867,-19.264,0.459,30
1027.034,-19.324,0.459,30
1026.191,-19.383,0.459,30
1025.325,-19.442,0.459,30
1024.423,-19.502,0.459,30
1023.468,-19.562,0.46,30
1022.467,-19.623,0.46,30
1021.401,-19.685,0.46,30
1020.233,-19.748,0.46,30
1018.842,-19.816,0.46,30
1016.946,-19.895,0.46,30
1014.094,-19.984,0.46,30
1010.81,-20.038,0.46,30
1008.675,-20.047,0.46,30
1007.215,-20.042,0.46,30
1005.938,-20.032,0.46,30
1004.744,-20.019,0.46,30
1003.599,-20.003,0.46,30
1002.461,-19.985,0.46,30
1001.316,-19.966,0.46,30
1000.151,-19.945,0.46,30
998.986,-19.923,0.46,30
997.802,-19.9,0.46,30
996.578,-19.876,0.46,30
995.282,-19.852,0.46,30
993.868,-19.828,0.46,30
992.198,-19.804,0.46,30
989.921,-19.779,0.46,30
986.68,-19.76,0.46,30
983.438,-19.759,0.46,30
980.194,-19.774,0.46,30
978.333,-19.788,0.46,30
976.752,-19.8,0.46,30
975.285,-19.811,0.46,30
973.875,-19.82,0.46,30
972.543,-19.828,0.46,30
971.234,-19.834,0.46,30
969.908,-19.837,0.46,30
968.527,-19.836,0.46,30
966.975,-19.828,0.46,30
964.898,-19.805,0.46,30
961.785,-19.74,0.46,30
958.553,-19.636,0.46,30
956.017,-19.532,0.46,30
954.055,-19.443,0.46,30
952.205,-19.353,0.46,30
950.433,-19.263,0.46,30
948.793,-19.178,0.46,30
947.169,-19.093,0.46,30
945.476,-19.005,0.46,30
943.573,-18.91,0.46,30
941.171,-18.798,0.46,30
938.097,-18.671,0.46,30
935.046,-18.562,0.46,30
932.008,-18.465,0.46,30
929.747,-18.396,0.46,30
927.74,-18.334,0.46,30
925.83,-18.272,0.46,30
923.606,-18.193,0.46,30
921.063,-18.093,0.46,30
918.104,-17.959,0.46,30
915.171,-17.803,0.46,30
912.264,-17.626,0.46,30
909.39,-17.434,0.46,30
907.064,-17.27,0.46,30
904.905,-17.115,0.46,30
902.667,-16.955,0.46,30
900.18,-16.781,0.46,30
897.444,-16.599,0.46,30
894.734,-16.432,0.46,30
892.051,-16.279,0.46,30
889.393,-16.135,0.46,30
886.929,-16.004,0.46,30
884.524,-15.873,0.46,30
881.932,-15.725,0.46,30
879.367,-15.568,0.46,30
876.827,-15.402,0.46,30
874.314,-15.228,0.46,30
871.831,-15.05,0.46,30
869.377,-14.872,0.46,30
866.952,-14.699,0.46,30
864.554,-14.534,0.46,30
862.182,-14.379,0.46,30
859.836,-14.233,0.46,30
857.513,-14.094,0.46,30
855.21,-13.962,0.46,30
852.933,-13.833,0.46,30
850.673,-13.704,0.46,30
848.435,-13.572,0.46,30
846.22,-13.437,0.46,30
844.029,-13.296,0.46,30
841.857,-13.152,0.46,30
839.715,-13.004,0.46,30
837.592,-12.856,0.46,30
835.495,-12.709,0.46,30
833.422,-12.566,0.46,30
831.371,-12.428,0.46,30
829.344,-12.297,0.46,30
827.336,-12.173,0.46,30
825.351,-12.057,0.46,30
823.383,-11.948,0.46,30
821.43,-11.845,0.46,30
819.495,-11.745,0.46,30
817.575,-11.65,0.46,30
815.673,-11.558,0.46,30
813.783,-11.469,0.46,30
811.909,-11.383,0.46,30
810.049,-11.298,0.46,30
808.202,-11.216,0.46,30
806.368,-11.137,0.46,30
804.547,-11.062,0.46,30
802.74,-10.991,0.46,30
800.942,-10.924,0.46,30
799.157,-10.859,0.46,30
797.379,-10.797,0.46,30
795.614,-10.74,0.46,30
793.855,-10.688,0.46,30
792.106,-10.639,0.46,30
790.364,-10.595,0.46,30
788.629,-10.555,0.46,30
786.903,-10.516,0.46,30
785.18,-10.48,0.46,30
783.465,-10.447,0.46,30
781.752,-10.415,0.46,30
780.046,-10.382,0.46,30
778.346,-10.349,0.46,30
776.65,-10.315,0.46,30
774.961,-10.281,0.459,30
773.278,-10.247,0.459,30
771.601,-10.214,0.459,30
769.928,-10.183,0.459,30
768.258,-10.157,0.459,30
766.594,-10.135,0.459,30
764.934,-10.119,0.459,30
763.274,-10.109,0.459,30
761.617,-10.105,0.459,30
759.957,-10.106,0.459,30
758.301,-10.11,0.459,30
756.64,-10.115,0.459,30
754.98,-10.122,0.459,30
753.32,-10.129,0.459,30
751.66,-10.133,0.459,30
749.997,-10.135,0.459,30
748.333,-10.134,0.459,30
746.673,-10.129,0.459,30
745.01,-10.123,0.459,30
743.35,-10.116,0.459,30
741.693,-10.11,0.459,30
740.033,-10.106,0.459,30
738.376,-10.105,0.459,30
736.719,-10.11,0.459,30
735.059,-10.12,0.459,30
733.399,-10.134,0.459,30
731.732,-10.153,0.459,30
730.066,-10.174,0.459,30
728.396,-10.2,0.459,30
726.719,-10.226,0.459,30
725.039,-10.251,0.459,30
723.356,-10.277,0.459,30
721.67,-10.302,0.459,30
719.977,-10.326,0.459,30
718.281,-10.349,0.459,30
716.581,-10.372,0.459,30
714.879,-10.394,0.459,30
713.173,-10.417,0.459,30
711.46,-10.442,0.459,30
709.744,-10.468,0.459,30
708.025,-10.496,0.459,30
706.302,-10.524,0.459,30
704.573,-10.552,0.459,30
702.841,-10.58,0.459,30
701.102,-10.607,0.459,30
699.36,-10.633,0.459,30
697.615,-10.658,0.459,30
695.863,-10.681,0.459,30
694.111,-10.701,0.459,30
692.352,-10.721,0.459,30
690.594,-10.738,0.459,30
688.829,-10.756,0.459,30
687.064,-10.774,0.459,30
685.295,-10.792,0.459,30
683.524,-10.81,0.459,30
681.749,-10.83,0.459,30
679.97,-10.85,0.459,30
678.189,-10.872,0.459,30
676.404,-10.895,0.459,30
674.613,-10.917,0.459,30
672.822,-10.94,0.459,30
671.024,-10.959,0.459,30
669.226,-10.977,0.459,30
667.425,-10.99,0.459,30
665.62,-11,0.459,30
663.816,-11.006,0.459,30
662.011,-11.008,0.459,30
660.203,-11.005,0.459,30
658.399,-10.999,0.459,30
656.594,-10.992,0.459,30
654.793,-10.984,0.459,30
652.992,-10.977,0.459,30
651.191,-10.972,0.459,30
649.393,-10.969,0.459,30
647.592,-10.968,0.459,30
